date,ticker,qty,order
2021-04-26,XLP,202,BUY
2021-04-26,XLY,277,SELL
2021-04-26,XLI,53,BUY
2021-04-26,XLV,561,BUY
2021-04-26,XLF,100,SELL
2021-05-03,XLE,37,BUY
2021-05-03,XLU,9,SELL
2021-05-03,XLK,248,SELL
2021-05-03,XLP,335,SELL
2021-05-03,XLY,257,BUY
2021-05-03,XLI,265,SELL
2021-05-03,XLV,519,BUY
2021-05-03,XLF,49,BUY
2021-05-10,XLE,59,SELL
2021-05-10,XLU,197,SELL
2021-05-10,XLK,250,SELL
2021-05-10,XLB,351,BUY
2021-05-10,XLP,81,BUY
2021-05-10,XLY,33,SELL
2021-05-10,XLI,25,SELL
2021-05-10,XLV,205,BUY
2021-05-10,XLF,274,BUY
2021-05-17,XLE,110,BUY
2021-05-17,XLU,536,SELL
2021-05-17,XLK,79,SELL
2021-05-17,XLB,275,BUY
2021-05-17,XLP,213,SELL
2021-05-17,XLY,105,SELL
2021-05-17,XLI,17,SELL
2021-05-17,XLV,367,SELL
2021-05-17,XLF,577,SELL
2021-05-24,XLE,44,SELL
2021-05-24,XLU,157,BUY
2021-05-24,XLK,29,BUY
2021-05-24,XLB,24,SELL
2021-05-24,XLP,199,SELL
2021-05-24,XLY,124,SELL
2021-05-24,XLV,53,SELL
2021-05-24,XLF,8,BUY
2021-05-31,XLE,86,SELL
2021-05-31,XLU,347,SELL
2021-05-31,XLK,49,SELL
2021-05-31,XLB,34,SELL
2021-05-31,XLP,446,BUY
2021-05-31,XLY,347,BUY
2021-05-31,XLI,75,BUY
2021-05-31,XLV,174,SELL
2021-05-31,XLF,200,SELL
2021-06-07,XLE,147,BUY
2021-06-07,XLU,110,BUY
2021-06-07,XLK,210,BUY
2021-06-07,XLB,26,BUY
2021-06-07,XLP,3,BUY
2021-06-07,XLY,15,SELL
2021-06-07,XLI,258,BUY
2021-06-07,XLV,416,SELL
2021-06-07,XLF,117,SELL
2021-06-14,XLE,231,BUY
2021-06-14,XLU,234,BUY
2021-06-14,XLK,118,SELL
2021-06-14,XLB,52,SELL
2021-06-14,XLP,643,SELL
2021-06-14,XLY,60,BUY
2021-06-14,XLI,140,BUY
2021-06-14,XLV,564,BUY
2021-06-14,XLF,151,SELL
2021-06-21,XLE,130,SELL
2021-06-21,XLU,249,SELL
2021-06-21,XLK,25,BUY
2021-06-21,XLB,33,SELL
2021-06-21,XLP,74,SELL
2021-06-21,XLY,314,BUY
2021-06-21,XLI,23,BUY
2021-06-21,XLV,89,BUY
2021-06-21,XLF,189,BUY
2021-06-28,XLE,156,SELL
2021-06-28,XLU,377,BUY
2021-06-28,XLK,328,BUY
2021-06-28,XLB,241,BUY
2021-06-28,XLP,364,SELL
2021-06-28,XLY,29,BUY
2021-06-28,XLI,22,BUY
2021-06-28,XLV,259,SELL
2021-06-28,XLF,58,BUY
2021-07-05,XLE,40,SELL
2021-07-05,XLU,234,SELL
2021-07-05,XLK,155,BUY
2021-07-05,XLB,88,SELL
2021-07-05,XLP,499,BUY
2021-07-05,XLY,140,SELL
2021-07-05,XLI,18,BUY
2021-07-05,XLV,234,SELL
2021-07-05,XLF,3,SELL
2021-07-12,XLE,37,BUY
2021-07-12,XLU,640,BUY
2021-07-12,XLK,17,SELL
2021-07-12,XLB,91,SELL
2021-07-12,XLP,323,SELL
2021-07-12,XLY,395,BUY
2021-07-12,XLI,38,SELL
2021-07-12,XLV,9,BUY
2021-07-12,XLF,103,BUY
2021-07-19,XLE,131,SELL
2021-07-19,XLU,24,BUY
2021-07-19,XLK,235,BUY
2021-07-19,XLB,134,SELL
2021-07-19,XLP,628,BUY
2021-07-19,XLY,310,SELL
2021-07-19,XLI,37,BUY
2021-07-19,XLV,75,BUY
2021-07-19,XLF,60,BUY
2021-07-26,XLE,53,SELL
2021-07-26,XLU,180,BUY
2021-07-26,XLK,131,BUY
2021-07-26,XLB,85,SELL
2021-07-26,XLP,426,BUY
2021-07-26,XLY,150,BUY
2021-07-26,XLI,54,SELL
2021-07-26,XLV,243,BUY
2021-07-26,XLF,525,BUY
2021-08-02,XLU,350,SELL
2021-08-02,XLK,167,SELL
2021-08-02,XLB,779,BUY
2021-08-02,XLP,340,SELL
2021-08-02,XLY,327,SELL
2021-08-02,XLI,256,SELL
2021-08-02,XLV,484,BUY
2021-08-02,XLF,129,SELL
2021-08-02,TLT,459,BUY
2021-08-09,XLU,239,SELL
2021-08-09,XLK,140,BUY
2021-08-09,XLB,90,BUY
2021-08-09,XLP,606,SELL
2021-08-09,XLY,179,SELL
2021-08-09,XLI,17,SELL
2021-08-09,XLV,77,SELL
2021-08-09,XLF,80,BUY
2021-08-09,TLT,366,BUY
2021-08-16,XLU,327,SELL
2021-08-16,XLK,112,SELL
2021-08-16,XLB,250,SELL
2021-08-16,XLP,144,BUY
2021-08-16,XLY,89,BUY
2021-08-16,XLI,43,BUY
2021-08-16,XLV,248,BUY
2021-08-16,XLF,47,BUY
2021-08-16,TLT,89,SELL
2021-08-23,XLU,276,SELL
2021-08-23,XLK,458,SELL
2021-08-23,XLB,59,BUY
2021-08-23,XLP,190,BUY
2021-08-23,XLY,330,BUY
2021-08-23,XLI,4,BUY
2021-08-23,XLV,217,SELL
2021-08-23,XLF,39,BUY
2021-08-23,TLT,195,BUY
2021-08-30,XLU,169,BUY
2021-08-30,XLK,226,SELL
2021-08-30,XLB,50,BUY
2021-08-30,XLP,308,SELL
2021-08-30,XLY,50,SELL
2021-08-30,XLI,267,BUY
2021-08-30,XLV,93,BUY
2021-08-30,XLF,105,BUY
2021-08-30,TLT,59,SELL
2021-09-06,XLU,236,SELL
2021-09-06,XLK,428,BUY
2021-09-06,XLB,51,SELL
2021-09-06,XLP,279,BUY
2021-09-06,XLY,2,BUY
2021-09-06,XLI,60,SELL
2021-09-06,XLV,101,SELL
2021-09-06,XLF,213,BUY
2021-09-06,TLT,488,SELL
2021-09-13,XLU,82,SELL
2021-09-13,XLK,133,BUY
2021-09-13,XLB,667,BUY
2021-09-13,XLP,122,SELL
2021-09-13,XLY,282,BUY
2021-09-13,XLI,462,SELL
2021-09-13,XLV,327,SELL
2021-09-13,XLF,231,BUY
2021-09-13,TLT,224,SELL
2021-09-20,XLU,93,SELL
2021-09-20,XLK,256,SELL
2021-09-20,XLB,408,SELL
2021-09-20,XLP,264,SELL
2021-09-20,XLY,136,BUY
2021-09-20,XLV,294,BUY
2021-09-20,XLF,104,BUY
2021-09-20,TLT,167,BUY
2021-09-27,XLU,414,BUY
2021-09-27,XLK,69,SELL
2021-09-27,XLB,23,SELL
2021-09-27,XLP,222,SELL
2021-09-27,XLY,121,SELL
2021-09-27,XLV,112,SELL
2021-09-27,XLF,160,SELL
2021-09-27,TLT,91,BUY
2021-10-04,XLU,276,BUY
